id,sector,anti_pattern,severity,description,alternative,example
1,finance,playful-animations,critical,"Bouncy or playful animations erode trust in financial products","Use subtle fade and slide transitions with --duration-fast","Don't use ease-spring on banking dashboards"
2,finance,neon-colors,critical,"Neon and bright saturated colors signal unprofessionalism in finance","Use navy blue and muted professional tones","Don't use #00FF88 as primary in banking apps"
3,finance,dark-themes,high,"Dark themes can feel untrustworthy to traditional banking demographics","Use light professional themes with blue tones","Default to Corporate palette not AI Futuristic"
4,finance,experimental-layouts,high,"Non-standard layouts create confusion in high-stakes financial tasks","Use conventional grid layouts with clear hierarchy","Don't use masonry or asymmetric layouts for transactions"
5,finance,casual-typography,high,"Casual or playful fonts undermine financial credibility","Use professional sans-serif or traditional serif fonts","Don't use Comfortaa or Comic-style fonts"
6,healthcare,aggressive-colors,critical,"Bright alarming colors cause anxiety in healthcare contexts","Use calming blues greens and neutral tones","Don't use #EF4444 as primary in patient portals"
7,healthcare,dark-themes,high,"Dark interfaces feel clinical cold and unwelcoming for patients","Use light calming themes with soft colors","Don't use AI Futuristic palette for healthcare"
8,healthcare,complex-animations,high,"Excessive motion can disorient patients especially elderly users","Use minimal predictable transitions","Don't use parallax or scroll-triggered animations"
9,healthcare,small-text,critical,"Small text is a critical accessibility failure in healthcare","Use 16px minimum body text with high contrast","Never go below 14px for any healthcare text"
10,healthcare,cluttered-layouts,high,"Dense cluttered layouts increase cognitive load for stressed patients","Use generous whitespace and clear visual hierarchy","Don't pack multiple CTAs above the fold"
11,education,dark-themes,moderate,"Dark themes can feel unwelcoming and hard to read for students","Use light friendly themes with warm colors","Default to Illustration palette not AI Futuristic"
12,education,angular-designs,moderate,"Sharp angular designs feel cold and intimidating for learners","Use rounded corners and soft shapes","Don't use Bold Lifestyle palette for education"
13,education,corporate-styling,moderate,"Corporate aesthetics feel boring and disengaging for students","Use friendly colorful illustration-forward design","Don't use Corporate palette for kids' education"
14,education,small-text,high,"Students including those with learning disabilities need readable text","Use larger text sizes with high contrast","Ensure minimum 16px body text for all education"
15,education,complex-navigation,high,"Complex navigation overwhelms learners especially children","Use simple clear navigation with visual cues","Limit primary nav to 5 items for education platforms"
16,government,trendy-designs,critical,"Government portals must prioritize accessibility over aesthetic trends","Use conservative accessible designs tested with screen readers","Don't use Glassmorphism or Neomorphism for gov sites"
17,government,playful-animations,high,"Government UIs need serious professional tone for credibility","Use minimal fade transitions only","Don't use bounce or spring animations"
18,government,neon-colors,high,"Neon colors are inappropriate for official government communications","Use accessible conservative color palettes","Use Corporate palette with high contrast"
19,government,low-contrast,critical,"Government sites must meet WCAG AAA for maximum accessibility","Ensure 7:1 contrast for text 4.5:1 for UI","Test all color combinations with contrast checker"
20,government,complex-forms,high,"Complex multi-step forms without progress frustrate citizens","Break forms into clear steps with progress indicator","Always show which step user is on and how many remain"
21,legal,playful-elements,high,"Playful design elements undermine legal authority and trust","Use serious professional conservative design","Don't use Illustration palette for law firms"
22,legal,bright-colors,moderate,"Bright saturated colors feel unprofessional for legal services","Use muted professional navy and gray tones","Use Minimal Corporate or Corporate palette"
23,legal,casual-typography,high,"Casual fonts destroy credibility in legal contexts","Use serif for authority or professional sans-serif","Use Source Serif 4 or Inter not Poppins"
24,legal,experimental-layouts,moderate,"Non-standard layouts confuse users seeking legal information","Use conventional structured layouts","Don't use asymmetric or masonry grid layouts"
25,luxury,busy-layouts,critical,"Cluttered layouts destroy the sense of exclusivity and premium quality","Use generous whitespace and minimal elements","Don't place more than 3 elements per viewport"
26,luxury,discount-badges,critical,"Sale badges and discount callouts destroy luxury brand perception","Communicate value through quality not discounts","Never show prices in red or use strikethrough pricing"
27,luxury,playful-elements,high,"Playful bouncy design undermines luxury sophistication","Use refined subtle elegant transitions","Don't use illustration-style rounded elements"
28,luxury,bright-gradients,high,"Vibrant gradients feel cheap and commercial for luxury brands","Use subtle monochromatic gradients or solid colors","Don't use Gradient Startup palette for luxury"
29,luxury,stock-photography,high,"Generic stock photos destroy luxury brand authenticity","Use custom photography with consistent art direction","Invest in original photography for luxury brands"
30,fashion,corporate-styling,high,"Corporate aesthetic kills fashion brand identity and creative edge","Use bold dramatic expressive design","Don't use Corporate palette for fashion brands"
31,fashion,pastel-colors,moderate,"Pastel colors can undermine the edgy appeal of fashion brands","Use high-contrast bold color choices","Use Bold Lifestyle palette for fashion"
32,fashion,rounded-corners,moderate,"Excessive rounding feels soft and uncommitted for fashion","Use sharp corners or minimal rounding","Bold Lifestyle palette uses 0px radius"
33,fashion,data-dense-layouts,high,"Data-heavy layouts are inappropriate for fashion brand storytelling","Use large imagery and minimal text","Lead with visuals not data tables"
34,kids,small-text,critical,"Children need large legible text for reading development","Use minimum 18px body text with high contrast","Double-check all text is readable by target age group"
35,kids,dark-themes,critical,"Dark interfaces are inappropriate and scary for young children","Use bright warm friendly color palettes","Always use light themes for children's products"
36,kids,complex-navigation,critical,"Children cannot handle complex multi-level navigation","Use simple direct navigation with visual icons","Limit to 3-4 top-level navigation items"
37,kids,angular-designs,high,"Sharp angular elements feel aggressive for children's interfaces","Use rounded corners and soft organic shapes","Use Illustration palette with large border-radius"
38,kids,adult-language,critical,"Technical jargon and complex language is inappropriate for children","Use simple clear language appropriate for age group","Write at the reading level of target age group"
39,startup,corporate-conservative,high,"Conservative corporate design makes startups look like enterprises","Use vibrant energetic bold design to stand out","Use Gradient Startup not Corporate palette"
40,startup,muted-colors,moderate,"Muted understated colors fail to grab attention for new products","Use vibrant high-energy color combinations","Lead with bold brand color not gray"
41,startup,complex-navigation,high,"Startup landing pages should minimize navigation to focus on conversion","Use minimal navigation with single CTA focus","Don't offer 10+ nav items on a startup landing page"
42,crypto,pastel-colors,high,"Pastel colors undermine the technical credibility of crypto products","Use dark themes with neon accents for crypto","Use AI Futuristic palette for crypto"
43,crypto,playful-illustrations,high,"Cartoon-style illustrations feel unserious for financial products","Use technical diagrams or abstract graphics","Don't use hand-drawn illustrations for DeFi"
44,crypto,serif-fonts,moderate,"Traditional serif fonts clash with crypto's cutting-edge identity","Use modern technical sans-serif or monospace fonts","Use Space Grotesk or JetBrains Mono"
45,ecommerce,dark-themes,moderate,"Dark themes make product photos harder to evaluate accurately","Use light themes that showcase products naturally","Default to light mode for product browsing"
46,ecommerce,small-images,high,"Tiny product images hurt conversion and increase return rates","Use large zoomable product photography","Minimum 400px product images in listings"
47,ecommerce,hidden-pricing,critical,"Hiding or obscuring prices erodes trust and increases bounce rate","Show prices clearly and prominently","Don't require login to see prices"
48,ecommerce,complex-checkout,critical,"Multi-page checkout with mandatory registration kills conversions","Use guest checkout with single-page flow","Offer guest checkout as primary option"
49,gaming,corporate-styling,high,"Corporate aesthetics bore gaming audiences instantly","Use immersive dark themes with dynamic elements","Use AI Futuristic palette for gaming platforms"
50,gaming,serif-fonts,moderate,"Traditional serif fonts feel outdated in gaming contexts","Use modern bold sans-serif or technical mono fonts","Use Space Grotesk or DM Sans for gaming"
51,saas,excessive-gradients,moderate,"Too many gradients create visual noise in daily-use SaaS tools","Use gradients sparingly on CTAs and hero not everywhere","Reserve gradients for marketing pages not app UI"
52,saas,large-hero-sections,moderate,"85vh heroes waste space in product UIs users visit daily","Use compact headers for app dashboards","Save large heroes for marketing/landing pages only"
53,dashboard,playful-animations,high,"Animations distract from data comprehension in dashboards","Use instant transitions or subtle fades only","Don't animate chart transitions beyond simple fade"
54,dashboard,bright-gradients,moderate,"Gradients interfere with data visualization readability","Use flat solid colors for chart elements","Don't use gradient fills on chart bars"
55,dashboard,casual-typography,moderate,"Casual fonts reduce data credibility in analytical contexts","Use tabular figures and professional sans-serif","Use Inter with tabular-nums for numeric data"
56,sustainability,dark-themes,moderate,"Dark themes contradict the bright natural feel sustainability brands need","Use light themes with green earth tones and nature imagery","Default to Illustration palette not AI Futuristic"
57,sustainability,corporate-styling,moderate,"Generic corporate design fails to communicate environmental commitment","Use organic illustration-forward design with nature-inspired colors","Use warm greens and earth tones not corporate navy"
58,proptech,playful-animations,high,"Playful animations erode trust in high-value property transactions","Use subtle professional transitions","Don't use bounce animations on property listing pages"
59,proptech,neon-colors,high,"Neon colors feel unprofessional for real estate technology","Use muted professional neutral tones","Use Minimal Corporate palette not AI Futuristic"
60,automotive,playful-elements,high,"Playful design undermines the precision engineering feel of automotive","Use clean industrial professional layouts","Don't use Illustration palette for automotive"
61,automotive,pastel-colors,moderate,"Pastel colors feel weak for automotive brands conveying power and reliability","Use bold confident colors with metallic accents","Use Corporate palette with strong contrast"
62,regtech,trendy-designs,critical,"Regulatory technology must prioritize clarity over visual trends","Use conservative accessible layouts with clear hierarchy","Don't use Glassmorphism for compliance dashboards"
63,regtech,playful-animations,high,"Compliance interfaces must feel serious and reliable not playful","Use minimal fade transitions only","Don't use bounce or spring animations in compliance tools"
64,legaltech,bright-gradients,high,"Vibrant gradients undermine legal authority and professionalism","Use muted professional color schemes","Don't use Gradient Startup palette for legal tech"
65,legaltech,casual-typography,high,"Casual fonts destroy credibility in legal technology contexts","Use serif for authority or professional sans-serif","Use Source Serif 4 or Inter not rounded fonts"
66,agritech,dark-themes,moderate,"Dark interfaces feel disconnected from agriculture's natural outdoor context","Use light themes with earthy warm natural tones","Default to Illustration palette for agritech"
67,agritech,corporate-styling,moderate,"Corporate aesthetics feel sterile for agriculture technology","Use friendly organic illustration-forward design","Use warm greens and earth tones reflecting nature"
68,govtech,neon-colors,high,"Neon colors are inappropriate for government technology platforms","Use accessible conservative institutional color palettes","Use Corporate palette with WCAG AAA compliance"
69,govtech,complex-navigation,high,"Government technology must be accessible to all citizens including those with disabilities","Use simple clear navigation with high-contrast labels","Limit primary nav to 5 items with clear labels"
70,cleantech,corporate-conservative,moderate,"Overly conservative design fails to communicate clean energy innovation","Use modern futuristic design that signals technological progress","Use AI Futuristic palette for cleantech"
71,insurtech,playful-elements,high,"Playful design undermines trust in insurance technology products","Use serious professional conservative design","Don't use Illustration palette for insurance technology"
72,insurtech,neon-colors,high,"Neon colors signal unprofessionalism in insurance contexts","Use muted professional blues and neutral tones","Use Corporate palette with trust-building colors"
73,sporttech,corporate-styling,high,"Corporate aesthetics bore sports technology audiences","Use bold energetic dynamic design","Use Bold Lifestyle palette for sports technology"
74,sporttech,muted-colors,moderate,"Muted understated colors fail to convey athletic energy","Use vibrant high-energy color combinations","Lead with bold brand color not gray"
75,fashiontech,data-dense-layouts,high,"Data-heavy layouts are inappropriate for fashion technology storytelling","Use large imagery with elegant minimal layouts","Lead with visuals not data tables"
76,fashiontech,rounded-corners,moderate,"Excessive rounding feels uncommitted for fashion technology brands","Use sharp refined corners for elegance","Use Apple Minimal palette with smooth medium radii"
77,foodtech,dark-themes,moderate,"Dark themes suppress appetite appeal in food technology products","Use warm light themes that showcase food imagery","Default to Bold Lifestyle palette with warm tones"
78,foodtech,small-images,high,"Tiny food images fail to trigger appetite and reduce engagement","Use large appetizing food photography","Minimum 400px food images in listings"
79,musictech,corporate-styling,high,"Corporate aesthetics kill creative music technology brand identity","Use vibrant creative expressive gradient design","Use Gradient Startup palette for music technology"
80,musictech,muted-colors,moderate,"Muted colors fail to convey the energy and creativity of music","Use vibrant dynamic gradient color schemes","Lead with bold creative brand colors"
81,pettech,dark-themes,moderate,"Dark interfaces feel unwelcoming for pet care technology products","Use bright warm friendly illustration-forward design","Default to Illustration palette for pettech"
82,pettech,angular-designs,moderate,"Sharp angular elements feel aggressive for pet care interfaces","Use rounded corners and soft organic shapes","Use Illustration palette with large border-radius"
83,spacetech,playful-illustrations,high,"Cartoon-style illustrations undermine space technology credibility","Use technical diagrams or realistic space imagery","Don't use hand-drawn illustrations for aerospace"
84,spacetech,pastel-colors,high,"Pastel colors fail to convey the cutting-edge nature of space technology","Use dark themes with electric accent colors","Use AI Futuristic palette for space technology"
