id,name,slug,category,variants,sizes,states,props,accessibility,use_when,dont_use_when,css_class,container_query,min_target_size,lifecycle_stage
1,Button,button,action,primary;secondary;ghost;gradient;destructive;icon-only,sm(36px);md(44px);lg(48px);xl(56px),default;hover;active;focus;disabled;loading,variant;size;fullWidth;iconLeft;iconRight;loading;disabled,role=button;aria-disabled;aria-busy for loading;focus ring 2px offset,Primary actions;Secondary actions;Navigation CTAs,Navigation between pages;Ghost for primary actions,btn,no,24,stable
2,Navigation Bar,navigation,navigation,standard;minimal;dark;transparent,desktop(64px);mobile(56px),default;scrolled;mobile-open,variant;sticky;blurOnScroll;megaMenu;darkModeToggle;ctaButton,nav landmark;aria-label;mobile toggle aria-expanded,Top-level site navigation on every page,In-app dashboard navigation — use sidebar instead,navbar,no,24,stable
3,Hero Section,hero,layout,centered;product-screenshot;video-bg;gradient-mesh;search-forward;split,full(85vh);compact(60vh),default;loaded;animated,variant;headline;subheadline;cta;socialProof;visual,h1 for headline;meaningful alt on images,Landing pages;Marketing pages;Product launches,Interior pages;Dashboard;Settings pages,hero,yes,0,stable
4,Feature Card,feature-card,content,icon-top;image-top;horizontal;stat-card;dashboard-preview,sm;md;lg,default;hover;active,variant;icon;title;description;link;image,heading hierarchy;alt on images;focus on link,Showcasing features or benefits in a grid,Long-form content;More than 6 cards in a grid,card,yes,0,stable
5,Pricing Table,pricing-table,commerce,2-column;3-column;4-column;toggle,standard;compact,default;monthly;annual,variant;plans[];toggle;highlightedPlan,aria-label on toggle;heading hierarchy,SaaS pricing with 2-4 tiers,Enterprise custom pricing;Feature comparison,pricing,yes,24,stable
6,Social Proof Bar,social-proof,trust,logo-strip;stats-counter;testimonial-mini;combined,standard;compact,default;hover;animated,variant;logos[];stats[];testimonials[],alt text on logos;aria-hidden on decorative,Below hero to build trust;B2B logo strips,Fewer than 4 recognizable logos,social-proof,no,0,stable
7,Testimonial Card,testimonial,trust,quote-card;video;metric;carousel,sm;md;lg,default;hover;playing,variant;quote;avatar;name;title;company;rating,blockquote element;cite for attribution,Building trust with user quotes,Generic or anonymous quotes,testimonial,no,0,stable
8,Footer,footer,navigation,simple;multi-column;newsletter;mega-footer,standard;compact,default,variant;columns[];newsletter;legal;copyright,nav landmark;aria-label;link list structure,Every page — multi-column for marketing,Full-screen modals or overlays,footer,no,0,stable
9,Code Block,code-block,content,syntax-highlighted;terminal;multi-tab,sm;md;lg,default;copied,language;code;showLineNumbers;showCopy;tabs[],pre+code elements;aria-label on copy button,Displaying code snippets or terminal commands,Short inline code — use code element instead,code-block,no,0,stable
10,Modal,modal,overlay,confirmation;task;alert,sm(400px);md(560px);lg(720px),default;entering;exiting,variant;title;content;actions[];onClose,role=dialog;aria-modal;focus trap;escape dismiss,Confirmations;Focused tasks;Critical alerts,Long content;Stacking modals;Non-blocking notifications,modal,no,24,stable
11,Form Input,input,form,text;email;password;number;search;textarea,sm(36px);md(44px);lg(52px),default;focus;error;disabled;readonly,variant;size;state;label;helperText;errorText;required,for/id label association;aria-invalid;aria-describedby,Any text entry — names emails passwords,Selecting from predefined list — use Select,input,no,24,stable
12,Select,select,form,native;custom,sm(36px);md(44px);lg(52px),default;focus;error;disabled,variant;size;options[];placeholder;required,native select for accessibility;aria-invalid,Choosing one option from 5-15 choices,Fewer than 5 options;More than 15 options,select,no,24,stable
13,Checkbox,checkbox,form,standard;indeterminate,md(20px),default;checked;indeterminate;disabled;focus,checked;indeterminate;disabled;label;name,input+label association;aria-checked,Multi-select;Terms acceptance,More than 7 options;Binary toggles,checkbox,no,24,stable
14,Radio,radio,form,standard;card,md(20px),default;checked;disabled;focus,checked;disabled;label;name;value,fieldset+legend grouping;aria-checked,Single-select from 2-5 visible options,More than 7 options;Multi-select,radio,no,24,stable
15,Toggle Switch,toggle,form,standard;with-label,md(48x28px),default;on;off;disabled;focus,checked;disabled;label;onChange,role=switch;aria-checked;aria-label,Binary on/off settings with immediate effect,Form fields requiring submit action,toggle,no,24,stable
16,Alert,alert,feedback,success;warning;error;info,sm;md;lg,default;dismissing,variant;title;message;dismissible,role=alert for error/warning;role=status for success/info,Persistent contextual messages within a page,Transient feedback — use Toast instead,alert,no,0,stable
17,Badge,badge,data-display,status;count;tag,sm(20px);md(24px),default;removable,variant;label;color;removable;onRemove,aria-label for icon badges;semantic color,Status indicators;Counts;Category tags,Long labels — more than 2 words,badge,no,0,stable
18,Tabs,tabs,navigation,line;pill;segmented,sm;md;lg,default;active;disabled,variant;tabs[];activeTab;onChange,role=tablist/tab/tabpanel;aria-selected;arrow key nav,Switching between 2-6 related content panels,More than 6 tabs;Sequential steps,tabs,no,24,stable
19,Accordion,accordion,content,single;multi;flush,standard,default;expanded;collapsed,variant;items[];defaultExpanded;allowMultiple,aria-expanded;aria-controls;keyboard Enter/Space/ArrowUp/ArrowDown,FAQ pages;Settings panels;Collapsible sections,Content users need to compare across sections,accordion,no,24,stable
20,Breadcrumb,breadcrumb,navigation,standard;truncated,standard,default,items[];separator;maxItems,nav aria-label=Breadcrumb;ol element;aria-current=page,Hierarchical navigation with 3+ levels,Flat site structures with 1-2 levels,breadcrumb,no,24,stable
21,Tooltip,tooltip,overlay,simple;rich,sm;md,default;visible;hidden,variant;content;trigger;position,role=tooltip;aria-describedby;show on hover+focus,Brief supplementary info on hover/focus,Essential info;Mobile-primary;Interactive content inside,tooltip,no,24,stable
22,Dropdown Menu,dropdown,navigation,action;context;nav-sub,sm;md;lg,default;open;closed,items[];trigger;onSelect;position,role=menu;aria-haspopup;aria-expanded;keyboard ArrowUp/Down,Action menus;Context menus;Navigation submenus,Form field selection — use Select instead,dropdown,no,24,stable
23,Avatar,avatar,data-display,image;initials;icon;group,xs(24px);sm(32px);md(40px);lg(48px);xl(64px),default;online;offline;busy,src;alt;initials;size;status;fallback,alt text;aria-label for status,User profiles;Team lists;Comment authors,Decorative images;Smaller than 24px,avatar,no,0,stable
24,Skeleton,skeleton,loading,text;card;avatar;table,sm;md;lg,loading;loaded,variant;lines;animated,aria-busy=true on container;aria-hidden=true on skeleton,Content placeholders while data loads,Button loading — use spinner;Errors — use error pattern,skeleton,no,0,stable
25,Toast,toast,feedback,success;error;warning;info;neutral,sm;md;lg,entering;visible;exiting;dismissed,variant;message;duration;action;onDismiss,role=alert for error/warning;role=status for success/info,Transient feedback after user actions,Persistent messages;Errors needing correction,toast,no,0,stable
26,Pagination,pagination,navigation,numbered;simple;load-more;infinite-scroll,sm;md,default;active;disabled,variant;currentPage;totalPages;onPageChange,nav aria-label=Pagination;aria-current=page,Large datasets;Tables;Search results,Short lists under 20 items,pagination,no,24,stable
27,Data Table,data-table,data-display,basic;sortable;selectable;expandable,compact(36px);default(48px);comfortable(56px),default;loading;empty;sorted;selected,variant;columns[];data[];sortable;selectable;density,scope=col;aria-sort;role=table,Structured multi-column data;Admin panels,Simple lists;Mobile with more than 4 columns,data-table,yes,0,stable
28,Date Picker,date-picker,form,single;range;with-time,md;lg,default;open;selected;disabled,variant;value;min;max;disabledDates;locale;onChange,role=grid;role=gridcell;aria-selected;keyboard arrow nav,Selecting dates or date ranges,Time-only selection;Small fixed date sets,date-picker,no,24,stable
29,Command Palette,command-palette,navigation,standard,md;lg,closed;open;searching;selected,actions[];onSelect;placeholder;groups[];recentLimit,role=combobox;role=listbox;aria-activedescendant,Power-user keyboard navigation for large apps,Simple apps;Mobile-only interfaces,command-palette,no,24,stable
30,Progress Indicator,progress-indicator,feedback,bar;circular;stepper,sm;md;lg,loading;complete;error;indeterminate,variant;value;max;label;showValue;indeterminate,role=progressbar;aria-valuenow;aria-valuemin;aria-valuemax,Multi-step flows;Uploads;Loading states,Indeterminate loading — use skeleton;Operations under 1s,progress,no,0,stable
31,Side Navigation,side-navigation,navigation,default;collapsed;with-sections,default(240px);collapsed(64px),default;active;collapsed;expanded,items[];collapsed;onNavigate;activeItem;sections[],nav aria-label;aria-current=page;aria-expanded,Dashboard apps with deep page hierarchies,Marketing pages;Apps with fewer than 5 pages,side-nav,yes,24,stable
32,File Upload,file-upload,form,dropzone;button;avatar-upload,sm;md;lg,idle;drag-over;uploading;success;error,variant;accept;maxSize;maxFiles;multiple;onUpload;onRemove,input type=file aria-label;role=button on dropzone;aria-live=polite,Uploading files from device,Selecting from uploaded files;Text-only input,file-upload,no,24,stable
33,Drawer,drawer,overlay,left;right;top;bottom,sm(320px);md(400px);lg(480px),open;closed;opening;closing,variant;side;onClose;overlay;trapFocus,role=dialog aria-modal=true;trap focus;Escape closes,Side panel for navigation or detail views,Full-page content;Small confirmations — use Modal,drawer,no,24,stable
34,Popover,popover,overlay,top;bottom;left;right;auto,sm;md,open;closed,variant;content;trigger;position;offset,role=dialog;focus trap optional;Escape closes;aria-haspopup,Contextual content anchored to trigger element,Complex forms — use Modal;Long content — use Drawer,popover,no,24,stable
35,Combobox,combobox,input,autocomplete;multiselect;creatable,sm(36px);md(44px);lg(52px),open;closed;focused;disabled;loading,variant;size;options[];placeholder;onSelect;onCreate;required,role=combobox aria-expanded aria-autocomplete;listbox pattern;aria-activedescendant,Searchable select with keyboard navigation,Fewer than 5 options — use Select or Radio,combobox,no,24,stable
36,Alert Dialog,alert-dialog,overlay,info;warning;destructive,sm(400px);md(520px),open;closed,variant;title;description;confirmLabel;cancelLabel;onConfirm;onCancel,role=alertdialog aria-modal=true aria-describedby;auto-focus action button,Critical confirmations requiring user action,Non-blocking feedback — use Toast or Alert,alert-dialog,no,24,stable
37,Carousel,carousel,display,slide;fade;auto-play,sm;md;lg,playing;paused;transitioning,variant;items[];autoPlay;interval;showDots;showArrows;onSlideChange,role=region aria-roledescription=carousel;aria-label;pause auto-play on focus/hover,Image or content rotation with manual controls,Critical content users must see — use static layout,carousel,yes,0,stable
38,Chip Input,chip-input,input,single;multi;removable,sm(36px);md(44px);lg(52px),focused;disabled;invalid,variant;size;chips[];onAdd;onRemove;maxChips;placeholder,role=listbox for chips;aria-label;Delete removes chip;input has combobox role,Tag/token input with add/remove chips,Single value entry — use Input;Fixed options — use Select,chip-input,no,24,stable
39,Stepper,stepper,navigation,horizontal;vertical;linear;non-linear,sm;md;lg,active;completed;disabled;error,variant;steps[];activeStep;onChange;linear;orientation,role=list with role=listitem;aria-current=step;aria-disabled for future steps,Multi-step process indicator and navigation,Fewer than 2 steps;Non-sequential tasks — use Tabs,stepper,no,24,stable
40,Segmented Control,segmented-control,input,default;icon-only;icon-label,sm(32px);md(40px);lg(48px),selected;unselected;disabled,variant;size;options[];value;onChange,role=radiogroup with role=radio;aria-checked;Arrow keys navigate,Mutually exclusive option selection,More than 5 options — use Select;Non-exclusive — use Checkbox group,segmented-control,no,24,stable
41,Toolbar,toolbar,navigation,horizontal;vertical;with-overflow,sm;md;lg,default;overflow,variant;orientation;items[];overflow;ariaLabel,role=toolbar aria-label;Arrow keys navigate;Tab enters/exits group,Grouped action buttons with shared context,Single action — use Button;Navigation links — use Nav,toolbar,no,24,stable
42,Tree View,tree-view,display,single-select;multi-select;checkbox,sm;md;lg,expanded;collapsed;selected;loading,variant;data[];onSelect;onExpand;selectionMode;defaultExpanded[],role=tree with role=treeitem;aria-expanded;aria-level;Arrow keys navigate,Hierarchical data display with expand/collapse,Flat lists — use Data Table;Shallow nesting — use Accordion,tree-view,no,0,stable
43,OTP Input,otp-input,input,4-digit;6-digit;alphanumeric,md(44px);lg(52px),focused;filled;error;disabled,variant;length;value;onChange;autoFocus;inputMode,autocomplete=one-time-code;inputmode=numeric;aria-label per digit;auto-focus next on input,One-time password entry with auto-advance,General text input — use Input;Long codes — use standard input,otp-input,no,24,stable
44,Box,box,layout,default,sm;md;lg,default,padding;margin;className;as,Layout primitive for spacing and composition,Comprehensive layout — use Grid or Stack,box,no,0,stable
45,Stack,stack,layout,row;column,sm;md;lg,default,direction;gap;align;wrap;spacing,Flex layout with consistent gap;Complex grid — use Grid,stack,no,0,stable
46,Grid,grid,layout,responsive;fixed,sm;md;lg,default,columns;gap;minChildWidth,CSS Grid layout;Simple list — use Stack,grid,yes,0,stable
47,Divider,divider,layout,horizontal;vertical;line;dashed,standard,default,orientation;variant,Visual separator;Decorative only without semantic break,divider,no,0,stable
48,Container,container,layout,sm;md;lg;full,standard,default,size;centered,Max-width wrapper;Full-bleed content,container,no,0,stable
49,Typography,typography,content,h1;h2;h3;body;caption;code,sm;md;lg,default,variant;as;color,Heading hierarchy;Inline styling only,typography,no,0,stable
50,Link,link,navigation,default;muted;primary,sm;md,default;hover;focus;external,href;external;rel,Focus ring;underline on focus,Inline navigation and external links,Button actions — use Button,link,no,24,stable
51,Number Input,number-input,form,default;with-stepper,sm(36px);md(44px);lg(52px),default;focus;error;disabled,value;min;max;step;disabled;aria-valuenow,Numeric entry with optional stepper,Free text — use Input;Sliders — use Slider,number-input,no,24,stable
52,Slider,slider,form,single;range,sm;md;lg,default;focus;disabled,value;min;max;step;aria-valuenow,role=slider;keyboard arrow keys,Selecting value from range,Discrete steps — use Select or Stepper,slider,no,24,stable
53,Form,form,form,default,standard,default,children;onSubmit;action;method,form landmark;label association,Grouping form fields and actions,Standalone inputs without grouping,form,no,0,stable
54,Time Picker,time-picker,form,dropdown;native,md;lg,default;open;selected;disabled,value;onChange;min;max,input type=time or combobox;aria-label,Time selection,Date selection — use Date Picker,time-picker,no,24,stable
55,Rating,rating,form,stars;custom,sm;md;lg,default;hover;selected,value;max;onChange;aria-label,Rating N of M;keyboard,Star or custom icon rating input,Binary — use Toggle;Free text — use Input,rating,no,24,stable
56,Color Picker,color-picker,form,swatch;input;combined,md;lg,default;open,value;onChange;label,input type=color;aria-describedby,Color selection,Predefined palette only — use Select,color-picker,no,24,stable
57,List,list,data-display,bullet;numbered;none,standard;dense,default,variant;items[];dense,ul/ol semantic markup;list role,Simple list of items,Complex tables — use Data Table;Nested — use Tree View,list,no,0,stable
58,Empty,empty,data-display,default;compact,standard,default,title;description;action;illustration,role=status or region;heading,Empty state with optional action,Loading — use Skeleton;Errors — use Alert,empty,no,0,stable
59,Image,image,data-display,default;rounded;thumbnail,sm;md;lg;full,default;loading;error,src;alt;fallback;loading,alt required;loading=lazy,Images with fallback and aspect ratio,Icons — use Icon;Decorative only,image,no,0,stable
60,Chip,chip,data-display,default;outlined;removable,sm;md,default;removing,label;onRemove;variant,aria-label Remove;button for remove,Standalone tag or filter chip,Input with chips — use Chip Input,chip,no,24,stable
61,Descriptions,descriptions,data-display,horizontal;vertical;bordered,standard,default,items[{label;value}];layout,Key-value list;dl or table,Key-value pairs display,Form layout — use Form + Input,descriptions,no,0,stable
62,Statistic,statistic,data-display,default;inline,sm;md;lg,default,value;label;prefix;suffix,Typography tokens;semantic number,Large number with label,Inline text — use Typography,statistic,no,0,stable
63,Timeline,timeline,data-display,default;compact,standard,default,items[{title;content;time}],Vertical list with connector;aria,Chronological items with optional time,Simple list — use List;Steps — use Stepper,timeline,no,0,stable
64,Aspect Ratio,aspect-ratio,layout,16:9;1:1;4:3;custom,standard,default,ratio;children,CSS aspect-ratio;padding fallback,Enforcing consistent media ratio,Free layout — use Box or Image,aspect-ratio,no,0,stable
65,Context Menu,context-menu,overlay,default,sm;md;lg,closed;open,items[];onSelect;trigger,role=menu;right-click;portal,Right-click menu,Click menu — use Dropdown,context-menu,no,24,stable
66,Popconfirm,popconfirm,overlay,default,sm;md,closed;open,title;description;onConfirm;onCancel;trigger,aria-describedby;focus trap,Confirm/cancel popover,Simple tooltip — use Tooltip;Full dialog — use Alert Dialog,popconfirm,no,24,stable
67,Notification,notification,feedback,top-right;top-left;bottom-right;bottom-left,sm;md;lg,visible;dismissed,items[];position;onDismiss,role=region;aria-label,Corner toast stack,Inline alerts — use Alert,notification,no,0,stable
68,Collapsible,collapsible,content,default,standard,closed;open,open;onOpenChange;trigger;content,aria-expanded;aria-controls,Single expand/collapse panel,Multiple panels — use Accordion,collapsible,no,24,stable
69,Icon,icon,content,default;outline;filled,sm(16px);md(24px);lg(32px),default,name;children;size;color,aria-hidden when decorative,Icon wrapper with size/color from tokens,Full images — use Image,icon,no,0,stable
70,Float Button,float-button,action,primary;extended,md(56px);lg(64px),default;hover,position;aria-label;onClick,Fixed position;aria-label,Floating action button,Mobile nav — use Bottom Navigation,float-button,no,24,stable
71,Menu,menu,navigation,horizontal;vertical,sm;md;lg,default;active,items[];orientation;activeItem,nav;role=menubar;menuitem,Menu bar of links/actions,Single dropdown — use Dropdown,menu,no,24,stable
72,Anchor,anchor,navigation,default,standard,default,items[{href;title}];smoothScroll,nav aria-label;in-page links,Smooth-scroll in-page link group,External links — use Link,anchor,no,24,stable
73,Login Form,login-form,form,default;with-social,standard,default;loading;error,title;description;onSubmit;onForgotPassword;onSignUp;socialProviders;loading;error;showRememberMe,form aria-label;label association;password type;autocomplete;aria-required;aria-invalid;aria-busy,Authentication flows;Login pages;Sign-in interfaces,In-app settings;Profile editing,login-form,no,24,stable
